"xx" "zz" "event" "study" "t40" "t41" "t42" "t43" "t44" "t45" "t46" "t47" "t48" "t49" "t50" "t51" "t52" "t53" "t54" "t55" "t56" "t57" "t58" "t59" "t60"
"xx0.800153698725626" "zz1" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-study" "event1" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-study" "event1" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-study" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-study" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-CAG" "event1" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-CAG" "event1" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-CAG" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.800153698725626" "zz-CAG" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz1" "event1" "study1" 218 211 203 192 184 178 173 169 166 159 151 146 141 133 127 122 115 109 105 94 90
"xx0.900008578994312" "zz1" "event1" "study2" 218 211 203 192 184 178 173 169 166 159 151 146 141 133 127 122 115 109 105 94 90
"xx0.900008578994312" "zz1" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz1" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-study" "event1" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-study" "event1" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-study" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-study" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-CAG" "event1" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-CAG" "event1" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-CAG" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.900008578994312" "zz-CAG" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz1" "event1" "study1" 218 211 203 192 184 178 173 169 166 159 151 146 141 133 127 122 115 109 105 94 90
"xx0.999863459262997" "zz1" "event1" "study2" 218 211 203 192 184 178 173 169 166 159 151 146 141 133 127 122 115 109 105 94 90
"xx0.999863459262997" "zz1" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz1" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-study" "event1" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-study" "event1" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-study" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-study" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-CAG" "event1" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-CAG" "event1" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-CAG" "event2" "study1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xx0.999863459262997" "zz-CAG" "event2" "study2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
